CODICE_COMUNE;CODICE_ISTAT;PROGRESSIVO_NAZIONALE;CODICE_COMUNALE;ODONIMO;LOCALITA';TOTALE_ACCESSI;DIZIONE_LINGUA1;DIZIONE_LINGUA2;unnamed_10
M208;079160;1245311;;PIAZZA FELICE SACCHI;;19;;;
M208;079160;1245307;;PIAZZA FRANCESCO ANTONIO D'IPPOLITO;;1;;;
M208;079160;1245327;;PIAZZA FRANCESCO FIORENTINO;;23;;;
M208;079160;1245360;;PIAZZA FRANCESCO RENDA;;1;;;
M208;079160;1245381;;PIAZZA GATTINARA;SANT'EUFEMIA VETERE;9;;;
M208;079160;1245019;;PIAZZA GENERALE ARMANDO DIAZ;;10;;;
M208;079160;1245410;;PIAZZA GIOVANNI AMENDOLA;;4;;;
M208;079160;1245431;;PIAZZA GIUSEPPE GARIBALDI;;81;;;
M208;079160;1245434;;PIAZZA GIUSEPPE MAZZINI;;54;;;
M208;079160;1245444;;PIAZZA GOFFREDO MAMELI;;0;;;
M208;079160;1245549;;PIAZZA ITALIA;;17;;;
M208;079160;1246249;;PIAZZA JOHN FITZGERALD KENNEDY;;17;;;
M208;079160;1245563;;PIAZZA KENNEDY;;13;;;
M208;079160;1245566;;PIAZZA LAMEZIA;;4;;;
M208;079160;1245621;;PIAZZA MARTIRI DI TIEN AN MEN;;0;;;
M208;079160;1245634;;PIAZZA MERCATO NUOVO;;0;;;
M208;079160;1245635;;PIAZZA MERCATO VECCHIO;;37;;;
M208;079160;1245689;;PIAZZA NICASTRO;;25;;;
M208;079160;1245751;;PIAZZA PIETRO ARDITO;;4;;;
M208;079160;1245630;;PIAZZA PORCELLI MEDAGLIA D'ORO;;7;;;
M208;079160;1245803;;PIAZZA RISORGIMENTO;SANT'EUFEMIA VETERE;2;;;
M208;079160;1245811;;PIAZZA ROMA;;17;;;
M208;079160;1245812;;PIAZZA ROMAGNA;;3;;;
M208;079160;1245816;;PIAZZA ROTONDA;;3;;;
M208;079160;1245834;;PIAZZA SALVO D'ACQUISTO;;6;;;
M208;079160;1245837;;PIAZZA SAN DOMENICO;;0;;;
