review_rank,access_id,street,civico,esponente,coordinate_quality_flag,source_diagnosis,source_lon,source_lat,recommended_candidate_source,review_candidate_lon,review_candidate_lat,recommended_review_track,decision_readiness,evidence_agreement,local_candidate_method,local_candidate_confidence,local_distance_from_source_m,geocode_provider_confidence,geocode_distance_from_source_m,local_geocode_distance_m,reviewer_action,reviewer_lon,reviewer_lat,coordinate_decision_confidence,reviewed_by,review_date,coordinate_reason,reviewer_notes,audit_expected_status
39,3538433,VIA DEL PROGRESSO,73,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.318104,38.972118,local_anncsu_anchor,16.3251635,38.964755,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,1021.2,,,,,,,,,,,,not_reviewed
40,3536139,VIA DEL PROGRESSO,582,2,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3330573,38.926976,local_anncsu_anchor,16.3324534,38.9461918,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,2137.3,,,,,,,,,,,,not_reviewed
41,3536113,VIA DEL PROGRESSO,610,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3338241,38.9240589,local_anncsu_anchor,16.3249215,38.9601771,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,4089.3,,,,,,,,,,,,not_reviewed
42,3520440,VIA DEI BIZANTINI,181,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2896293,38.9641287,local_anncsu_anchor,16.3007499,38.948848,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,1952.4,,,,,,,,,,,,not_reviewed
43,3553301,VIA DEI BIZANTINI,57,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2768912,38.9549174,local_anncsu_anchor,16.3013435,38.9554939,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,2115.3,,,,,,,,,,,,not_reviewed
44,3520410,VIA DEI BIZANTINI,131,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2679017,38.9617222,local_anncsu_anchor,16.3035439,38.9529847,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,3231.4,,,,,,,,,,,,not_reviewed
45,3535167,VIA ACQUAFREDDA,82,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2803995,38.9456439,local_anncsu_anchor,16.2996872,38.961908,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,2460.1,,,,,,,,,,,,not_reviewed
46,3535135,VIA ACQUAFREDDA,239,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3014126,38.970104,local_anncsu_anchor,16.2409704,38.9878745,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,5585.8,,,,,,,,,,,,not_reviewed
47,3535126,VIA ACQUAFREDDA,228,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3106471,38.95961,local_anncsu_anchor,16.2402443,38.9916687,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,7053.1,,,,,,,,,,,,not_reviewed
48,3535128,VIA ACQUAFREDDA,230,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3338061,38.9553419,local_anncsu_anchor,16.240202,38.9918111,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,9051.1,,,,,,,,,,,,not_reviewed
49,3526395,VIA ROBERTO IL GUISCARDO,12,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3159654,38.9759628,local_anncsu_anchor,16.3220053,38.9651057,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,1315.3,,,,,,,,,,,,not_reviewed
50,3528601,VIA ROBERTO IL GUISCARDO,35,,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3027523,38.9579415,local_anncsu_anchor,16.3213434,38.956979,review_medium_local_anchor,manual_review_ready,local_anchor_only,same_street_civic_number_interpolation,medium,1611.1,,,,,,,,,,,,not_reviewed
