access_id,odonimo_raw,civico,esponente,coord_x,coord_y,nearest_candidate_section,distance_to_candidate_boundary_m,problem_type,suggested_review_action,notes
3511631,VIA SAVERIO D'IPPOLITO,2,,16.3023293,38.9567345,70,36.457,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511632,VIA SAVERIO D'IPPOLITO,3,,16.3029523,38.9573192,70,4.242,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511633,VIA SAVERIO D'IPPOLITO,4,,16.3024014,38.9566703,70,37.472,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511634,VIA SAVERIO D'IPPOLITO,5,,16.3030397,38.9582085,58,2.696,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511635,VIA SAVERIO D'IPPOLITO,6,,16.3036087,38.9566827,13,18.036,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511636,VIA SAVERIO D'IPPOLITO,8,,16.3037297,38.9577119,66,29.494,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511637,VIA SAVERIO D'IPPOLITO,1,A,16.302366,38.9572474,61,7.594,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511638,VIA SAVERIO D'IPPOLITO,14,A,16.3037169,38.9583323,58,49.908,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511639,VIA SAVERIO D'IPPOLITO,5,A,16.3031721,38.9581783,58,3.517,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511640,VIA SAVERIO D'IPPOLITO,9,,16.3034427,38.9581215,58,16.586,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511690,VIA TIMPONE,16,,16.3231114,38.9780022,59,5.013,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511691,VIA TIMPONE,19,,16.3233971,38.9782017,59,9.574,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511692,VIA TIMPONE,2,,16.323388,38.978388,28,11.651,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511693,VIA TIMPONE,23,,16.323683,38.978353,28,5.361,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511694,VIA TIMPONE,26,,16.3232298,38.9783564,28,25.781,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511695,VIA TIMPONE,3,,16.3226805,38.9780546,22,4.11,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511696,VIA TIMPONE,36,,16.323386,38.978279,28,16.49,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511697,VIA TIMPONE,38,,16.3233445,38.9783537,28,16.376,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511698,VIA TIMPONE,4,,16.3232608,38.978266,59,17.526,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511699,VIA TIMPONE,40,,16.32339,38.978352,28,12.666,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511700,VIA TIMPONE,42,,16.323494,38.9783649,28,3.635,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511701,VIA TIMPONE,45,,16.323845,38.978497,28,16.023,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511702,VIA TIMPONE,50,,16.3241606,38.978839,32,13.491,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
3511703,VIA TIMPONE,6,,16.3229592,38.9780352,76,17.668,street_not_in_electoral_rules,inspect_in_qgis_near_candidate_boundary,remaining review point within 100m of V2 candidate boundary
