access_id,provider,candidate_method,candidate_status,candidate_lon,candidate_lat,candidate_confidence,candidate_explanation,source_lon,source_lat,distance_from_source_m,street,civico,esponente,coordinate_quality_flag,anchor_count,numeric_anchor_count,lower_anchor_access_id,lower_anchor_civic,upper_anchor_access_id,upper_anchor_civic,nearest_anchor_access_id,nearest_anchor_civic,nearest_anchor_distance_m,notes
3512670,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3455808,38.9516388,low,Interpolated civic 12 between same-street anchors 9 and 33.,16.3400628,38.9645178,1509.5,CONTRADA GABELLA CARDOLO,12,,street_context_mismatch,4,4,3512673,9,3512671,33,3512672,8,124.1,Local ANNCSU anchor candidate only; do not apply without human review.
3528227,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3314625,38.9702748,medium,Interpolated civic 9 between same-street anchors 8 and 10.,16.306086,38.9725144,2207.9,CONTRADA GACCIA,9,,same_street_outlier,24,24,3528226,8,3526070,10,3526071,11,2155.7,Local ANNCSU anchor candidate only; do not apply without human review.
3539275,local_anncsu_anchor,same_street_same_civic_number_anchor,candidate_requires_human_review,16.3041626,38.9828162,medium,1 same-street anchor(s) share civic number 131.,16.2477534,39.011431,5821.3,CONTRADA GUERRIERI SERRA,131,A,same_street_outlier,20,20,,,,,3539285,85,5817.0,Local ANNCSU anchor candidate only; do not apply without human review.
3539286,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3041956,38.9829187,medium,Interpolated civic 87 between same-street anchors 85 and 97.,16.245585,39.0134166,6095.4,CONTRADA GUERRIERI SERRA,87,,same_street_outlier,20,20,3539285,85,3539288,97,3539285,85,6094.9,Local ANNCSU anchor candidate only; do not apply without human review.
3515430,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3022247,38.9447975,low,Interpolated civic 5 between same-street anchors 3 and 50.,16.2463872,38.9653402,5341.3,CONTRADA MARSOMIGLIO,5,,street_context_mismatch,3,3,3515428,3,3515429,50,3515429,50,5318.5,Local ANNCSU anchor candidate only; do not apply without human review.
3539264,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2548262,39.0011443,medium,Interpolated civic 102 between same-street anchors 93 and 109.,16.2508899,39.0181192,1917.9,CONTRADA MIGLIERINA,102,,same_street_outlier,8,8,3539270,93,3539262,109,3539267,24,1825.7,Local ANNCSU anchor candidate only; do not apply without human review.
3512549,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.3323829,38.9617684,low,Only one-sided or sparse numeric same-street anchors were available.,16.240946,39.0171837,10021.0,CONTRADA MISA',11,,same_street_outlier,14,14,,,3512555,42,3512553,192,10021.0,Local ANNCSU anchor candidate only; do not apply without human review.
3512554,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.3325527,38.9617735,low,Only one-sided or sparse numeric same-street anchors were available.,16.3525418,38.9600919,1738.4,CONTRADA MISA',25,,same_street_outlier,14,14,,,3512555,42,3512548,109,1738.4,Local ANNCSU anchor candidate only; do not apply without human review.
3517001,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.248768,39.0110427,low,Only one-sided or sparse numeric same-street anchors were available.,16.2484134,39.0124669,161.3,CONTRADA MITOIO,127,,street_context_mismatch,28,28,3517000,123,,,3516999,122,161.3,Local ANNCSU anchor candidate only; do not apply without human review.
3539351,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.2875193,38.9818621,low,Only one-sided or sparse numeric same-street anchors were available.,16.3162964,38.9839482,2498.2,CONTRADA MURETTO,95,,same_street_outlier,13,13,3539347,93,,,3539347,93,2498.2,Local ANNCSU anchor candidate only; do not apply without human review.
3539361,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.3163631,38.9858204,low,Only one-sided or sparse numeric same-street anchors were available.,16.2951503,38.9208785,7450.5,CONTRADA PAPAZZO,145,,same_street_outlier,12,12,3539360,133,,,3539368,91,7450.5,Local ANNCSU anchor candidate only; do not apply without human review.
3539362,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.3163631,38.9858204,low,Only one-sided or sparse numeric same-street anchors were available.,16.2273318,38.9713808,7861.6,CONTRADA PAPAZZO,151,,same_street_outlier,12,12,3539360,133,,,3539368,91,7861.6,Local ANNCSU anchor candidate only; do not apply without human review.
3512781,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2275661,38.9563558,medium,Interpolated civic 21 between same-street anchors 14 and 29.,16.2848469,38.957859,4955.7,CONTRADA PIGNA MAZZEI,21,,same_street_outlier,5,5,3512777,14,3512778,29,3512777,14,4951.4,Local ANNCSU anchor candidate only; do not apply without human review.
3530536,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2952205,38.9888161,medium,Interpolated civic 8 between same-street anchors 7 and 9.,16.2407357,39.0192009,5794.9,CONTRADA PIOMBO ZAPPANOTTE,8,,needs_manual_coordinate_review,42,42,3530535,7,3530537,9,3530535,7,119.5,Local ANNCSU anchor candidate only; do not apply without human review.
3530507,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.310898,38.9812238,low,Only one-sided or sparse numeric same-street anchors were available.,16.3219329,38.9763846,1095.2,CONTRADA PROCESSIONE STOCCO,55,,same_street_outlier,6,6,,,3530508,57,3530508,57,1095.2,Local ANNCSU anchor candidate only; do not apply without human review.
3521555,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2412868,38.9758877,medium,Interpolated civic 19 between same-street anchors 18 and 20.,16.2497599,38.977077,744.3,CONTRADA QUATTROCCHI,19,,isolated_point,21,21,3521554,18,3521557,20,3521549,13,686.7,Local ANNCSU anchor candidate only; do not apply without human review.
3521540,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3421513,38.9634946,medium,Interpolated civic 23 between same-street anchors 22 and 28.,16.35599,38.9622496,1204.5,CONTRADA QUATTROCCHI,23,,same_street_outlier,21,21,3521545,22,3521546,28,3521545,22,1198.0,Local ANNCSU anchor candidate only; do not apply without human review.
3521541,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3420206,38.9636328,medium,Interpolated civic 25 between same-street anchors 22 and 28.,16.2238999,38.9667477,10218.3,CONTRADA QUATTROCCHI,25,,same_street_outlier,21,21,3521545,22,3521546,28,3521565,8,1497.8,Local ANNCSU anchor candidate only; do not apply without human review.
3521543,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3420206,38.9636328,medium,Interpolated civic 25 between same-street anchors 22 and 28.,16.355259,38.959743,1223.6,CONTRADA QUATTROCCHI,25,A,same_street_outlier,21,21,3521545,22,3521546,28,3521545,22,1199.7,Local ANNCSU anchor candidate only; do not apply without human review.
3521544,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3420206,38.9636328,medium,Interpolated civic 25 between same-street anchors 22 and 28.,16.2216,38.96109,10415.5,CONTRADA QUATTROCCHI,25,B,same_street_outlier,21,21,3521545,22,3521546,28,3521565,8,2060.9,Local ANNCSU anchor candidate only; do not apply without human review.
3521560,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2896949,38.9699807,medium,Interpolated civic 4 between same-street anchors 3 and 5.,16.3040511,38.9190834,5794.1,CONTRADA QUATTROCCHI,4,,same_street_outlier,21,21,3521559,3,3521561,5,3521552,16,5928.6,Local ANNCSU anchor candidate only; do not apply without human review.
3538129,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3198988,38.9676607,medium,Interpolated civic 10 between same-street anchors 7 and 12.,16.2264519,38.967947,8078.9,CONTRADA SORBELLO,10,,same_street_outlier,13,13,3538142,7,3538131,12,3538135,3,8045.5,Local ANNCSU anchor candidate only; do not apply without human review.
3537146,local_anncsu_anchor,nearest_same_street_numeric_anchor,candidate_requires_human_review,16.3194962,38.9755662,low,Only one-sided or sparse numeric same-street anchors were available.,16.3158479,38.9809367,675.3,CONTRADA SPINETO,110,,same_street_outlier,15,15,3537145,108,,,3537140,72,675.3,Local ANNCSU anchor candidate only; do not apply without human review.
3525975,local_anncsu_anchor,same_street_same_civic_number_anchor,candidate_requires_human_review,16.2399503,39.0053859,medium,1 same-street anchor(s) share civic number 40.,16.3194083,38.9751664,7645.3,CONTRADA VALLE RICCIARDI INFERIORE,40,A,same_street_outlier,15,15,,,,,3525968,42,7498.1,Local ANNCSU anchor candidate only; do not apply without human review.
3519289,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.3118068,38.9785811,medium,Interpolated civic 27 between same-street anchors 15 and 29.,16.3201673,38.977266,737.3,CONTRADA VELATI,27,,same_street_outlier,4,4,3519288,15,3519291,29,3519288,15,735.5,Local ANNCSU anchor candidate only; do not apply without human review.
3512577,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2413111,38.9759037,medium,Interpolated civic 67 between same-street anchors 54 and 73.,16.2497599,38.977077,741.9,CONTRADA VONIO,67,,same_street_outlier,15,15,3512575,54,3512578,73,3512572,37,686.7,Local ANNCSU anchor candidate only; do not apply without human review.
3524717,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.2707074,38.9654693,medium,Interpolated civic 15 between same-street anchors 5 and 19.,16.3199453,38.9763173,4424.2,CONTRADA ZUPPELLO,15,,isolated_point,3,3,3524718,5,3526836,19,3524718,5,4421.2,Local ANNCSU anchor candidate only; do not apply without human review.
3524716,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.270685,38.9654854,medium,Interpolated civic 20 between same-street anchors 19 and 32.,16.2863302,38.9667205,1359.6,CONTRADA ZUPPELLO,20,,isolated_point,3,3,3526836,19,3526844,32,3524718,5,1353.4,Local ANNCSU anchor candidate only; do not apply without human review.
3526837,local_anncsu_anchor,same_street_civic_number_interpolation,candidate_requires_human_review,16.270685,38.9654854,medium,Interpolated civic 20 between same-street anchors 19 and 32.,16.241419,38.985675,3382.3,CONTRADA ZUPPELLO,20,BIS,isolated_point,3,3,3526836,19,3526844,32,3526836,19,3381.4,Local ANNCSU anchor candidate only; do not apply without human review.
