access_id,odonimo_raw,civico,esponente,coordinate_quality_flag,raw_found,extract_found,processed_found,raw_coord_x,raw_coord_y,extract_coord_x,extract_coord_y,processed_coord_x,processed_coord_y,raw_extract_coordinate_match,extract_processed_coordinate_match,raw_extract_address_match,extract_processed_address_match,same_exact_coordinate_group_size,same_exact_coordinate_distinct_streets,same_exact_coordinate_streets_sample,source_diagnosis,recovery_action
3539286,CONTRADA GUERRIERI SERRA,87,,same_street_outlier,true,true,true,"16,245585","39,0134166","16,245585","39,0134166","16,245585","39,0134166",true,true,true,true,2,2,CONTRADA CROZZANO SUPERIORE; CONTRADA GUERRIERI SERRA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3539264,CONTRADA MIGLIERINA,102,,same_street_outlier,true,true,true,"16,2508899","39,0181192","16,2508899","39,0181192","16,2508899","39,0181192",true,true,true,true,1,1,CONTRADA MIGLIERINA,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3512549,CONTRADA MISA',11,,same_street_outlier,true,true,true,"16,240946","39,0171837","16,240946","39,0171837","16,240946","39,0171837",true,true,true,true,1,1,CONTRADA MISA',suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3512554,CONTRADA MISA',25,,same_street_outlier,true,true,true,"16,3525418","38,9600919","16,3525418","38,9600919","16,3525418","38,9600919",true,true,true,true,2,2,CONTRADA GABELLA; CONTRADA MISA',suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3539351,CONTRADA MURETTO,95,,same_street_outlier,true,true,true,"16,3162964","38,9839482","16,3162964","38,9839482","16,3162964","38,9839482",true,true,true,true,1,1,CONTRADA MURETTO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3539361,CONTRADA PAPAZZO,145,,same_street_outlier,true,true,true,"16,2951503","38,9208785","16,2951503","38,9208785","16,2951503","38,9208785",true,true,true,true,1,1,CONTRADA PAPAZZO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3539362,CONTRADA PAPAZZO,151,,same_street_outlier,true,true,true,"16,2273318","38,9713808","16,2273318","38,9713808","16,2273318","38,9713808",true,true,true,true,1,1,CONTRADA PAPAZZO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3512781,CONTRADA PIGNA MAZZEI,21,,same_street_outlier,true,true,true,"16,2848469","38,957859","16,2848469","38,957859","16,2848469","38,957859",true,true,true,true,1,1,CONTRADA PIGNA MAZZEI,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3530507,CONTRADA PROCESSIONE STOCCO,55,,same_street_outlier,true,true,true,"16,3219329","38,9763846","16,3219329","38,9763846","16,3219329","38,9763846",true,true,true,true,1,1,CONTRADA PROCESSIONE STOCCO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3521540,CONTRADA QUATTROCCHI,23,,same_street_outlier,true,true,true,"16,35599","38,9622496","16,35599","38,9622496","16,35599","38,9622496",true,true,true,true,2,2,CONTRADA QUATTROCCHI; CONTRADA ZAPPANOTTE,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3521541,CONTRADA QUATTROCCHI,25,,same_street_outlier,true,true,true,"16,2238999","38,9667477","16,2238999","38,9667477","16,2238999","38,9667477",true,true,true,true,2,2,CONTRADA QUATTROCCHI; CONTRADA ZINNAVO,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
3521543,CONTRADA QUATTROCCHI,25,A,same_street_outlier,true,true,true,"16,355259","38,959743","16,355259","38,959743","16,355259","38,959743",true,true,true,true,2,2,CONTRADA QUATTROCCHI; CONTRADA ZAPPANOTTE,suspect_coordinate_present_in_original_anncsu_raw,external_geocode_candidate_plus_human_review
