review_rank,access_id,address_label,coordinate_quality_flag,source_diagnosis,source_lon,source_lat,candidate_lon,candidate_lat,candidate_source,candidate_method,candidate_confidence,movement_from_source_m,evidence_agreement,review_track,workbench_filter,worksheet_reviewer_action,review_status,required_reviewer_fields,acceptance_rule,post_review_command
32,3531928,VIA DEL PROGRESSO 533,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,16.280143,38.9615629,16.3310609,38.947558,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,4670.2,local_anchor_only,review_medium_local_anchor,access_id:3531928,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
33,3522438,VIA GIOACCHINO MURAT 111,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,16.3244874,38.9456708,16.3233014,38.9445329,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,162.9,local_anchor_only,review_medium_local_anchor,access_id:3522438,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
34,3512013,VIA AURELIO CASSIODORO 14,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,16.3377493,38.9505043,16.3063225,38.9533279,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,2735.7,local_geocoder_conflict_over_500m,review_medium_local_anchor,access_id:3512013,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
35,3528313,CONTRADA BUCOLIA DI SOTTO 20 A,street_context_mismatch,suspect_coordinate_present_in_original_anncsu_raw,16.251427,39.004828,16.2897128,38.9885369,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,3772.1,local_anchor_only,review_medium_local_anchor,access_id:3528313,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
36,3527325,CONTRADA ACQUADAUZANO 375,needs_manual_coordinate_review,suspect_coordinate_present_in_original_anncsu_raw,16.3049541,38.9870505,16.305187,38.9865702,local_anncsu_anchor,same_street_same_civic_number_anchor,medium,57.1,local_anchor_only,review_medium_local_anchor,access_id:3527325,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
37,3526015,CONTRADA ANNUNZIATA 105,outside_boundary,suspect_coordinate_present_in_original_anncsu_raw,16.3030348,38.9905196,16.3007554,38.9827821,local_anncsu_anchor,same_street_civic_number_interpolation,medium,882.6,local_anchor_only,review_medium_local_anchor,access_id:3526015,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
38,3514824,CONTRADA AGLI 18,outside_boundary,suspect_coordinate_present_in_original_anncsu_raw,16.3030348,38.9905196,16.3454583,38.9755658,local_anncsu_anchor,same_street_civic_number_interpolation,medium,4026.3,local_anchor_only,review_medium_local_anchor,access_id:3514824,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
39,3538433,VIA DEL PROGRESSO 73,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.318104,38.972118,16.3251635,38.964755,local_anncsu_anchor,same_street_civic_number_interpolation,medium,1021.2,local_anchor_only,review_medium_local_anchor,access_id:3538433,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
40,3536139,VIA DEL PROGRESSO 582 2,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3330573,38.926976,16.3324534,38.9461918,local_anncsu_anchor,same_street_civic_number_interpolation,medium,2137.3,local_anchor_only,review_medium_local_anchor,access_id:3536139,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
41,3536113,VIA DEL PROGRESSO 610,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3338241,38.9240589,16.3249215,38.9601771,local_anncsu_anchor,same_street_civic_number_interpolation,medium,4089.3,local_anchor_only,review_medium_local_anchor,access_id:3536113,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
42,3520440,VIA DEI BIZANTINI 181,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2896293,38.9641287,16.3007499,38.948848,local_anncsu_anchor,same_street_civic_number_interpolation,medium,1952.4,local_anchor_only,review_medium_local_anchor,access_id:3520440,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
43,3553301,VIA DEI BIZANTINI 57,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2768912,38.9549174,16.3013435,38.9554939,local_anncsu_anchor,same_street_civic_number_interpolation,medium,2115.3,local_anchor_only,review_medium_local_anchor,access_id:3553301,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
44,3520410,VIA DEI BIZANTINI 131,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2679017,38.9617222,16.3035439,38.9529847,local_anncsu_anchor,same_street_civic_number_interpolation,medium,3231.4,local_anchor_only,review_medium_local_anchor,access_id:3520410,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
45,3535167,VIA ACQUAFREDDA 82,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.2803995,38.9456439,16.2996872,38.961908,local_anncsu_anchor,same_street_civic_number_interpolation,medium,2460.1,local_anchor_only,review_medium_local_anchor,access_id:3535167,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
46,3535135,VIA ACQUAFREDDA 239,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3014126,38.970104,16.2409704,38.9878745,local_anncsu_anchor,same_street_civic_number_interpolation,medium,5585.8,local_anchor_only,review_medium_local_anchor,access_id:3535135,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
47,3535126,VIA ACQUAFREDDA 228,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3106471,38.95961,16.2402443,38.9916687,local_anncsu_anchor,same_street_civic_number_interpolation,medium,7053.1,local_anchor_only,review_medium_local_anchor,access_id:3535126,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
48,3535128,VIA ACQUAFREDDA 230,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3338061,38.9553419,16.240202,38.9918111,local_anncsu_anchor,same_street_civic_number_interpolation,medium,9051.1,local_anchor_only,review_medium_local_anchor,access_id:3535128,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
49,3526395,VIA ROBERTO IL GUISCARDO 12,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3159654,38.9759628,16.3220053,38.9651057,local_anncsu_anchor,same_street_civic_number_interpolation,medium,1315.3,local_anchor_only,review_medium_local_anchor,access_id:3526395,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
50,3528601,VIA ROBERTO IL GUISCARDO 35,same_street_outlier,suspect_coordinate_present_in_original_anncsu_raw,16.3027523,38.9579415,16.3213434,38.956979,local_anncsu_anchor,same_street_civic_number_interpolation,medium,1611.1,local_anchor_only,review_medium_local_anchor,access_id:3528601,blank,awaiting_human_review,reviewer_action;coordinate_decision_confidence;reviewed_by;review_date;coordinate_reason,"Accept only after workbench inspection confirms ANNCSU label, same-street anchor context, and no visible contradiction.",python scripts/build_anncsu_coordinate_decisions_from_worksheet.py
