election_id,round,section_number,list_id,votes,source_doc_id,validation_status,notes
comunali_lamezia_2025,1,9,comunali_lamezia_2025_list_era_ora,8,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=5
comunali_lamezia_2025,1,9,comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,39,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=6
comunali_lamezia_2025,1,9,comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,1,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=7
comunali_lamezia_2025,1,9,comunali_lamezia_2025_list_movimento_indipendenza,1,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=8
comunali_lamezia_2025,1,9,comunali_lamezia_2025_list_lamezia_domani,14,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=9
comunali_lamezia_2025,1,9,comunali_lamezia_2025_list_noi_moderati,32,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=10
comunali_lamezia_2025,1,9,comunali_lamezia_2025_list_calabria_azzurra,28,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=11
comunali_lamezia_2025,1,9,comunali_lamezia_2025_list_forza_italia,50,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=12
comunali_lamezia_2025,1,9,comunali_lamezia_2025_list_lega_salvini_calabria,11,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=13
comunali_lamezia_2025,1,9,comunali_lamezia_2025_list_fratelli_d_italia,42,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=14
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_partito_democratico,48,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=1
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_movimento_5_stelle,6,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=2
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_azione,8,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=3
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_per_vivere_bene,26,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=4
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_era_ora,11,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=5
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,20,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=6
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,3,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=7
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_movimento_indipendenza,4,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=8
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_lamezia_domani,25,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=9
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_noi_moderati,19,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=10
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_calabria_azzurra,20,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=11
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_forza_italia,18,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=12
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_lega_salvini_calabria,10,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=13
comunali_lamezia_2025,1,10,comunali_lamezia_2025_list_fratelli_d_italia,22,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=14
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_partito_democratico,75,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=1
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_movimento_5_stelle,26,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=2
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_azione,18,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=3
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_per_vivere_bene,47,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=4
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_era_ora,16,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=5
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,44,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=6
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,4,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=7
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_movimento_indipendenza,6,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=8
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_lamezia_domani,36,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=9
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_noi_moderati,44,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=10
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_calabria_azzurra,30,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=11
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_forza_italia,22,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=12
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_lega_salvini_calabria,25,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=13
comunali_lamezia_2025,1,11,comunali_lamezia_2025_list_fratelli_d_italia,25,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=14
comunali_lamezia_2025,1,12,comunali_lamezia_2025_list_partito_democratico,51,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=1
comunali_lamezia_2025,1,12,comunali_lamezia_2025_list_movimento_5_stelle,9,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=2
comunali_lamezia_2025,1,12,comunali_lamezia_2025_list_azione,27,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=3
comunali_lamezia_2025,1,12,comunali_lamezia_2025_list_per_vivere_bene,31,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=4
comunali_lamezia_2025,1,12,comunali_lamezia_2025_list_era_ora,6,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=5
comunali_lamezia_2025,1,12,comunali_lamezia_2025_list_gianpaolo_bevilacqua_sindaco_del_popolo,43,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=6
comunali_lamezia_2025,1,12,comunali_lamezia_2025_list_l_italia_del_meridione_lamezia_nel_cuore,2,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=7
comunali_lamezia_2025,1,12,comunali_lamezia_2025_list_movimento_indipendenza,7,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=8
comunali_lamezia_2025,1,12,comunali_lamezia_2025_list_lamezia_domani,16,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=9
comunali_lamezia_2025,1,12,comunali_lamezia_2025_list_noi_moderati,27,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=10
comunali_lamezia_2025,1,12,comunali_lamezia_2025_list_calabria_azzurra,10,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=11
comunali_lamezia_2025,1,12,comunali_lamezia_2025_list_forza_italia,30,maggioli_2025_sections_lists_xml,extracted_pending_totals_validation,maggioli_list_number=12
