election_id,section_number,list_number,council_candidate_number,preference_votes,source_doc_id,validation_status,notes
comunali_lamezia_2025,5,1,9,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,10,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,11,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,12,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,13,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,14,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,15,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,16,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,17,5,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,18,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,19,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,20,4,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,21,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,22,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,23,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,5,1,24,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,1,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,2,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,3,16,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,4,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,5,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,6,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,7,1,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,8,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,9,2,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,10,3,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,11,8,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,12,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,13,7,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,14,8,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,15,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,16,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,17,17,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,18,6,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
comunali_lamezia_2025,6,1,19,0,maggioli_2025_preferences_section_l01_xml,extracted_pending_totals_validation,
