street_name_normalised,electoral_street_name_raw,electoral_rule_count,electoral_section_numbers,anncsu_street_name_normalised,anncsu_odonimo,anncsu_progressivo_nazionale,anncsu_total_accesses,crosswalk_status,match_method,confidence,notes
PIAZZA B CROCE,PIAZZA B. CROCE,1,33,PIAZZA BENEDETTO CROCE,PIAZZA BENEDETTO CROCE,1245049,0,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
PIAZZA BOTTICELLI,PIAZZA BOTTICELLI,1,39,PIAZZA BOTTICELLI,PIAZZA BOTTICELLI,1245064,0,matched,normalized_exact,high,
PIAZZA BOVIO,PIAZZA BOVIO,1,6,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA DELLA REPUBBLICA,PIAZZA DELLA REPUBBLICA,1,9,PIAZZA DELLA REPUBBLICA,PIAZZA DELLA REPUBBLICA,1245257,11,matched,normalized_exact,high,
PIAZZA DIAZ,PIAZZA DIAZ,1,33,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA E BORELLI MED D ORO,PIAZZA E. BORELLI (MED. D'ORO),1,9,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA E LARGO S DOMENICO,PIAZZA E LARGO S. DOMENICO,1,6,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA E SCESA F SACCHI,PIAZZA E SCESA F. SACCHI,1,6,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA E SCESA MERCATO VECCHIO,PIAZZA E SCESA MERCATO VECCHIO,1,6,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA F A D IPPOLITO,PIAZZA F. A. D'IPPOLITO,1,8,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA F RENDE,PIAZZA F. RENDE,1,8,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA G AMENDOLA,PIAZZA G. AMENDOLA,1,3,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA G FEROLETO,PIAZZA G. FEROLETO,1,8,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA G MAMELI,PIAZZA G. MAMELI,1,57,PIAZZA GOFFREDO MAMELI,PIAZZA GOFFREDO MAMELI,1245444,0,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
PIAZZA GARIBALDI,PIAZZA GARIBALDI,1,41,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA GATTINARA,PIAZZA GATTINARA,1,57,PIAZZA GATTINARA,PIAZZA GATTINARA,1245381,9,matched,normalized_exact,high,
PIAZZA ITALIA,PIAZZA ITALIA,1,52,PIAZZA ITALIA,PIAZZA ITALIA,1245549,17,matched,normalized_exact,high,
PIAZZA KENNEDY,PIAZZA KENNEDY,1,35,PIAZZA KENNEDY,PIAZZA KENNEDY,1245563,13,matched,normalized_exact,high,
PIAZZA LAMEZIA,PIAZZA LAMEZIA,1,54,PIAZZA LAMEZIA,PIAZZA LAMEZIA,1245566,4,matched,normalized_exact,high,
PIAZZA M CONTI,PIAZZA M. CONTI,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA MARTIRI DI THIENAMMEN,PIAZZA MARTIRI DI THIENAMMEN,1,31,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA MAZZINI,PIAZZA MAZZINI,1,4,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA MED D ORO FRATELLI PORCELLI,PIAZZA MED. D'ORO F.LLI PORCELLI,1,9,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA MERCATO NUOVO,PIAZZA MERCATO NUOVO,1,6,PIAZZA MERCATO NUOVO,PIAZZA MERCATO NUOVO,1245634,0,matched,normalized_exact,high,
PIAZZA P ARDITO,PIAZZA P.ARDITO,1,3,PIAZZA PIETRO ARDITO,PIAZZA PIETRO ARDITO,1245751,4,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
PIAZZA RISORGIMENTO,PIAZZA RISORGIMENTO,1,57,PIAZZA RISORGIMENTO,PIAZZA RISORGIMENTO,1245803,2,matched,normalized_exact,high,
PIAZZA ROMA,PIAZZA ROMA,1,23,PIAZZA ROMA,PIAZZA ROMA,1245811,17,matched,normalized_exact,high,
PIAZZA ROMAGNA,PIAZZA ROMAGNA,1,29,PIAZZA ROMAGNA,PIAZZA ROMAGNA,1245812,3,matched,normalized_exact,high,
PIAZZA ROTONDA,PIAZZA ROTONDA,1,3,PIAZZA ROTONDA,PIAZZA ROTONDA,1245816,3,matched,normalized_exact,high,
PIAZZA S ANTONIO DI PADOVA,PIAZZA S. ANTONIO DI PADOVA,1,6,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA SALVO D ACQUISTO,PIAZZA SALVO D'ACQUISTO,1,8,PIAZZA SALVO D ACQUISTO,PIAZZA SALVO D'ACQUISTO,1245834,6,matched,normalized_exact,high,
PIAZZA SAMBIASE,PIAZZA SAMBIASE,1,77,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA SANTA MARIA DELLE GRAZIE,PIAZZA SANTA MARIA DELLE GRAZIE,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZA SANTA MARIA MAGGIORE,PIAZZA SANTA MARIA MAGGIORE,1,9,PIAZZA SANTA MARIA MAGGIORE,PIAZZA SANTA MARIA MAGGIORE,1245883,22,matched,normalized_exact,high,
PIAZZA STOCCO,PIAZZA STOCCO,1,8,PIAZZA STOCCO,PIAZZA STOCCO,1245284; 1245950,8,matched,normalized_exact,high,
PIAZZA T CAMPANELLA,PIAZZA T. CAMPANELLA,1,6,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZETTA NICASTRO,PIAZZETTA NICASTRO,1,14,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PIAZZETTA SAN FRANCESCO DI PAOLA,PIAZZETTA SAN FRANCESCO DI PAOLA,1,39,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
PRESSO AEROPORTO,PRESSO AEROPORTO,1,55,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
RIONE CARUSO,RIONE CARUSO,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
RIONE CASINO,RIONE CASINO,1,30,RIONE CASINO,RIONE CASINO,1245139,6,matched,normalized_exact,high,
SALITA E LARGHETTO S CATERINA,SALITA E LARGHETTO S. CATERINA,1,8,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
SALITA E RAMPA MANCINI,SALITA E RAMPA MANCINI,1,10,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
SALITA FRATELLI MARUCA,SALITA F. LLI MARUCA,1,8,SALITA FRATELLI MARUCA,SALITA FRATELLI MARUCA,1245358,26,matched,normalized_exact,high,
SALITA MAZZEI,SALITA MAZZEI,1,8,SALITA MAZZEI,SALITA MAZZEI,1246135,9,matched,normalized_exact,high,
STAZIONE S PIETRO LAMETINO,STAZIONE S. PIETRO LAMETINO,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
TRAV LATO DESTRO VIA G MARCONI,TRAV. LATO DESTRO VIA G. MARCONI,1,18,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
TRAV LATO SINISTRO VIA G MARCONI,TRAV. LATO SINISTRO VIA G. MARCONI,1,19,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
TRAVERSE DI VIA BIZANTINI,TRAVERSE DI VIA BIZANTINI,1,58,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
TRAVERSE E VIA GINEPRI,TRAVERSE E VIA GINEPRI,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA A ANILE,VIA A. ANILE,1,9,VIA ANTONINO ANILE,VIA ANTONINO ANILE,1245005,10,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A CANOVA,VIA A. CANOVA,1,76,VIA ANTONIO CANOVA,VIA ANTONIO CANOVA,1245006,17,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A CAPPELLI,VIA A. CAPPELLI,4,50; 57,VIA ANTONIO CAPPELLI,VIA ANTONIO CAPPELLI,1245007,87,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A COLAVITA,VIA A. COLAVITA,1,31,VIA AMALIA COLAVITA,VIA AMALIA COLAVITA,1246292,15,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A COSTA,VIA A. COSTA,1,43,VIA ANDREA COSTA,VIA ANDREA COSTA,1244998,14,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A D IPPOLITO,VIA A. D'IPPOLITO,1,10,VIA ANTONIO D IPPOLITO,VIA ANTONIO D'IPPOLITO,1244986,47,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A DE GASPERI,VIA A. DE GASPERI,1,39,VIA ALCIDE DE GASPERI,VIA ALCIDE DE GASPERI,1244991,11,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A DIAZ,VIA A. DIAZ,1,4,VIA ARMANDO DIAZ,VIA ARMANDO DIAZ,1245020,6,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A E A PETRONIO,VIA A. E . A. PETRONIO,1,37,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA A GENOVESE,VIA A. GENOVESE,1,41,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA A GRANDI,VIA A. GRANDI,1,32,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA A MEUCCI,VIA A. MEUCCI,1,20,VIA ANTONIO MEUCCI,VIA ANTONIO MEUCCI,1246293,12,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A MISIANI,VIA A. MISIANI,1,12,VIA ANTONIO MISIANI,VIA ANTONIO MISIANI,1245011,44,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A MORO,VIA A. MORO,1,19,VIA ALDO MORO,VIA ALDO MORO,1244992,69,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A NUCIFERO,VIA A.NUCIFERO,1,53,VIA ALIDA NUCIFERO,VIA ALIDA NUCIFERO,1246161,61,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A PACINOTTI,VIA A. PACINOTTI,1,9,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA A PERUGINI EX NICASTRO,VIA A. PERUGINI EX NICASTRO,2,58; 72,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA A PERUGINI EX SAMBIASE,VIA A. PERUGINI EX SAMBIASE,1,77,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA A REILLO,VIA A. REILLO,1,61,VIA ANTONIO REILLO,VIA ANTONIO REILLO,1245012,41,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A RENDE,VIA A. RENDE,1,3,VIA ANTONIO RENDE,VIA ANTONIO RENDE,1245017,3,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A SCARPINO,VIA A. SCARPINO,1,63,VIA ARMANDO SCARPINO,VIA ARMANDO SCARPINO,1245023,4,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A SEGNI,VIA A. SEGNI,1,68,VIA ANTONIO SEGNI,VIA ANTONIO SEGNI,1245013,4,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A VESPUCCI,VIA A. VESPUCCI,1,38,VIA AMERIGO VESPUCCI,VIA AMERIGO VESPUCCI,1244997,7,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA A VOLTA,VIA A. VOLTA,1,13,VIA ALESSANDRO VOLTA,VIA ALESSANDRO VOLTA,1244995,42,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA ABATE ROBERTO DI GRANDMESNIL,VIA ABATE ROBERTO DI GRANDMESNIL,1,64,VIA ABATE ROBERTO DI GRANDMESNIL,VIA ABATE ROBERTO DI GRANDMESNIL,1245807,28,matched,normalized_exact,high,
VIA ABRUZZI,VIA ABRUZZI,1,22,VIA ABRUZZI,VIA ABRUZZI,1244976,15,matched,normalized_exact,high,
VIA ACCARIA,VIA ACCARIA,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA ADAMELLO,VIA ADAMELLO,1,42,VIA ADAMELLO,VIA ADAMELLO,1244980,50,matched,normalized_exact,high,
VIA ADDA,VIA ADDA,1,13,VIA ADDA,VIA ADDA,1244981,122,matched,normalized_exact,high,
VIA ADDURI EX CONTRADA ADDURI,VIA ADDURI ( EX CONTRADA ADDURI),1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA ADELINA MORACA,VIA ADELINA MORACA,1,28,VIA ADELINA MORACA,VIA ADELINA MORACA,1246198,1,matched,normalized_exact,high,
VIA ADIGE,VIA ADIGE,1,13,VIA ADIGE,VIA ADIGE,1244985,12,matched,normalized_exact,high,
VIA AEROPORTO,VIA AEROPORTO,1,55,VIA AEROPORTO,VIA AEROPORTO,1244987,0,matched,normalized_exact,high,
VIA AFRICA,VIA AFRICA,1,55,VIA AFRICA,VIA AFRICA,1246134,29,matched,normalized_exact,high,
VIA ALBERT EINSTEIN,VIA ALBERT EINSTEIN,1,40,VIA ALBERT EINSTEIN,VIA ALBERT EINSTEIN,1244989,12,matched,normalized_exact,high,
VIA ALDO PERONACI,VIA ALDO PERONACI,1,69,VIA ALDO PERONACI,VIA ALDO PERONACI,1244993,11,matched,normalized_exact,high,
VIA ALIGHIERI DANTE,VIA ALIGHIERI DANTE,1,39,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA ALISEI,VIA ALISEI,1,49,VIA ALISEI,VIA ALISEI,1246153,2,matched,normalized_exact,high,
VIA AMALFI,VIA AMALFI,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA ANDREA CEFALY,VIA ANDREA CEFALY,1,55,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA ANDREA MANTEGNA,VIA ANDREA MANTEGNA,1,76,VIA ANDREA MANTEGNA,VIA ANDREA MANTEGNA,1244999,33,matched,normalized_exact,high,
VIA ANNUNZIATA,VIA ANNUNZIATA,1,24,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA ANTONELLO DA MESSINA,VIA ANTONELLO DA MESSINA,1,76,VIA ANTONELLO DA MESSINA,VIA ANTONELLO DA MESSINA,1245004,52,matched,normalized_exact,high,
VIA ANTONINO DI FIORE,VIA ANTONINO DI FIORE,1,41,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA ANTONIO DE GRAZIA,VIA ANTONIO DE GRAZIA,1,66,VIA ANTONIO DE GRAZIA,VIA ANTONIO DE GRAZIA,1246108,7,matched,normalized_exact,high,
VIA ANTONIO MARASCO,VIA ANTONIO MARASCO,1,55,VIA ANTONIO MARASCO,VIA ANTONIO MARASCO,1246199,2,matched,normalized_exact,high,
VIA ANTONIO MORELLI,VIA ANTONIO MORELLI,1,31,VIA ANTONIO MORELLI,VIA ANTONIO MORELLI,1246098,20,matched,normalized_exact,high,
VIA ARCHIMEDE,VIA ARCHIMEDE,1,38,VIA ARCHIMEDE,VIA ARCHIMEDE,1245015,2,matched,normalized_exact,high,
VIA ARIOSTO,VIA ARIOSTO,1,40,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA ARISTOTELE,VIA ARISTOTELE,1,67,VIA ARISTOTELE,VIA ARISTOTELE,1245018,27,matched,normalized_exact,high,
VIA ARNO,VIA ARNO,1,1,VIA ARNO,VIA ARNO,1245021,15,matched,normalized_exact,high,
VIA ARTURO TOSCANINI,VIA ARTURO TOSCANINI,1,76,VIA ARTURO TOSCANINI,VIA ARTURO TOSCANINI,1245022,2,matched,normalized_exact,high,
VIA ASIA,VIA ASIA,1,53,VIA ASIA,VIA ASIA,1245024,5,matched,normalized_exact,high,
VIA ASPROMONTE,VIA ASPROMONTE,1,8,VIA ASPROMONTE,VIA ASPROMONTE,1245025,5,matched,normalized_exact,high,
VIA AURELIO CASSIODORO,VIA AURELIO CASSIODORO,1,67,VIA AURELIO CASSIODORO,VIA AURELIO CASSIODORO,1245031,44,matched,normalized_exact,high,
VIA AUSTRALIA,VIA AUSTRALIA,1,52,VIA AUSTRALIA,VIA AUSTRALIA,1245032,4,matched,normalized_exact,high,
VIA B BUOZZI,VIA B. BUOZZI,1,32,VIA BRUNO BUOZZI,VIA BRUNO BUOZZI,1245069,12,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA B MUSOLINO,VIA B. MUSOLINO,1,17,VIA BENEDETTO MUSOLINO,VIA BENEDETTO MUSOLINO,1245050,20,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA B SPOSATO,VIA B. SPOSATO,1,43,VIA BASILIO SPOSATO,VIA BASILIO SPOSATO,1245041,33,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA BACHELET,VIA BACHELET,1,13,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA BAGNI,VIA BAGNI,1,35,VIA BAGNI,VIA BAGNI,1245033,2,matched,normalized_exact,high,
VIA BARACCA,VIA BARACCA,1,34,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA BAROLO,VIA BAROLO,1,62,VIA BAROLO,VIA BAROLO,1245038,5,matched,normalized_exact,high,
VIA BASILICATA,VIA BASILICATA,1,22,VIA BASILICATA,VIA BASILICATA,1245040,20,matched,normalized_exact,high,
VIA BASILIO DE FAZIO,VIA BASILIO DE FAZIO,1,28,VIA BASILIO DE FAZIO,VIA BASILIO DE FAZIO,1246171,51,matched,normalized_exact,high,
VIA BATTAGLIA DI MAIDA,VIA BATTAGLIA DI MAIDA,1,62,VIA BATTAGLIA DI MAIDA,VIA BATTAGLIA DI MAIDA,1246173,9,matched,normalized_exact,high,
VIA BEATO ANGELICO,VIA BEATO ANGELICO,1,77,VIA BEATO ANGELICO,VIA BEATO ANGELICO,1245044,28,matched,normalized_exact,high,
VIA BENEVENTO,VIA BENEVENTO,1,68,VIA BENEVENTO,VIA BENEVENTO,1245052,29,matched,normalized_exact,high,
VIA BERNARDINO BENINCASA,VIA BERNARDINO BENINCASA,1,77,VIA BERNARDINO BENINCASA,VIA BERNARDINO BENINCASA,1246163,25,matched,normalized_exact,high,
VIA BEZZECCA,VIA BEZZECCA,1,68,VIA BEZZECCA,VIA BEZZECCA,1245054,17,matched,normalized_exact,high,
VIA BOCCACCIO,VIA BOCCACCIO,1,38,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA BOLZANO,VIA BOLZANO,1,36,VIA BOLZANO,VIA BOLZANO,1245059,38,matched,normalized_exact,high,
VIA BORBONI DI NAPOLI,VIA BORBONI DI NAPOLI,1,32,VIA BORBONI DI NAPOLI,VIA BORBONI DI NAPOLI,1245060,6,matched,normalized_exact,high,
VIA BOSCO AMATELLO,VIA BOSCO AMATELLO,1,54,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA BOSCO S ANTONIO,VIA BOSCO S. ANTONIO,1,6,VIA BOSCO SANT ANTONIO,VIA BOSCO SANT'ANTONIO,1245063,2,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA BRENTA,VIA BRENTA,1,36,VIA BRENTA,VIA BRENTA,1245066,42,matched,normalized_exact,high,
VIA BREZIA,VIA BREZIA,1,34,VIA BREZIA,VIA BREZIA,1245068,5,matched,normalized_exact,high,
VIA BREZZA,VIA BREZZA,1,49,VIA BREZZA,VIA BREZZA,1246154,1,matched,normalized_exact,high,
VIA BUSENTO,VIA BUSENTO,1,36,VIA BUSENTO,VIA BUSENTO,1245074,41,matched,normalized_exact,high,
VIA C ALVARO,VIA C. ALVARO,1,39,VIA CORRADO ALVARO,VIA CORRADO ALVARO,1245182,17,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA C ARDITO,VIA C. ARDITO,1,9,VIA CARLO ARDITO,VIA CARLO ARDITO,1245115,8,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA C BATTISTI,VIA C. BATTISTI,1,34,VIA CESARE BATTISTI,VIA CESARE BATTISTI,1245155,9,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA C CASSOLI,VIA C. CASSOLI,1,3,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA C COLOMBO,VIA C. COLOMBO,1,13,VIA CRISTOFORO COLOMBO,VIA CRISTOFORO COLOMBO,1245192,72,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA C DE CADORNA,VIA C. DE CADORNA,1,21,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA C FIORE,VIA C. FIORE,1,42,VIA CAIO FIORE,VIA CAIO FIORE,1245085,25,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA C LORIEDO,VIA C. LORIEDO,1,3,VIA CAMILLO LORIEDO,VIA CAMILLO LORIEDO,1245579,10,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA C PETRONIO,VIA C. PETRONIO,1,35,VIA CARLO PETRONIO,VIA CARLO PETRONIO,1245740,2,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA C T MERCURI,VIA C. T. MERCURI,1,76,VIA CESARE TEODORO MERCURI,VIA CESARE TEODORO MERCURI,1245157,4,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA C TREVES,VIA C. TREVES,1,32,VIA CARLO TREVES,VIA CARLO TREVES,1245118,9,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
VIA CADORE,VIA CADORE,1,22,VIA CADORE,VIA CADORE,1245075,18,matched,normalized_exact,high,
VIA CADUTI DEL PONTE DELLE GRAZIE,VIA CADUTI DEL PONTE DELLE GRAZIE,1,65,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CAGLIARI,VIA CAGLIARI,1,22,VIA CAGLIARI,VIA CAGLIARI,1245084,3,matched,normalized_exact,high,
VIA CAIROLI,VIA CAIROLI,1,40,VIA CAIROLI,VIA CAIROLI,1245086,15,matched,normalized_exact,high,
VIA CALABRIA,VIA CALABRIA,1,22,VIA CALABRIA,VIA CALABRIA,1245087,74,matched,normalized_exact,high,
VIA CALATAFIMI,VIA CALATAFIMI,1,17,VIA CALATAFIMI,VIA CALATAFIMI,1245088,24,matched,normalized_exact,high,
VIA CALLERI,VIA CALLERI,1,52,VIA CALLERI,VIA CALLERI,1245092,4,matched,normalized_exact,high,
VIA CAMPANIA,VIA CAMPANIA,1,22,VIA CAMPANIA,VIA CAMPANIA,1245094,65,matched,normalized_exact,high,
VIA CANE,VIA CANE,1,26,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CARAVAGGIO,VIA CARAVAGGIO,1,39,VIA CARAVAGGIO,VIA CARAVAGGIO,1245109,16,matched,normalized_exact,high,
VIA CARDINALE G SIRLETO,VIA CARDINALE G. SIRLETO,1,71,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CARDUCCI,VIA CARDUCCI,1,3,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CARLA MARIA TALARICO,VIA CARLA MARIA TALARICO,1,13,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CARLO GOLDONI,VIA CARLO GOLDONI,1,37,VIA CARLO GOLDONI,VIA CARLO GOLDONI,1245116,14,matched,normalized_exact,high,
VIA CARLO TUCCI,VIA CARLO TUCCI,1,37,VIA CARLO TUCCI,VIA CARLO TUCCI,1245119,18,matched,normalized_exact,high,
VIA CARMELINA TROPEA,VIA CARMELINA TROPEA,1,28,VIA CARMELINA TROPEA,VIA CARMELINA TROPEA,1246167,51,matched,normalized_exact,high,
VIA CARNIA,VIA CARNIA,1,22,VIA CARNIA,VIA CARNIA,1245121,30,matched,normalized_exact,high,
VIA CARONTE,VIA CARONTE,1,35,VIA CARONTE,VIA CARONTE,1245123,8,matched,normalized_exact,high,
VIA CARRICELLO,VIA CARRICELLO,1,32,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CARSO,VIA CARSO,1,35,VIA CARSO,VIA CARSO,1245135,4,matched,normalized_exact,high,
VIA CASTELFIDARDO,VIA CASTELFIDARDO,1,8,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CASTURI,VIA CASTURI,1,24,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CATALDI,VIA CATALDI,1,33,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CATANIA,VIA CATANIA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CATERINA DE MARCO,VIA CATERINA DE MARCO,3,53; 57,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CATERINA MOLINARO,VIA CATERINA MOLINARO,1,28,VIA CATERINA MOLINARO,VIA CATERINA MOLINARO,1246224,16,matched,normalized_exact,high,
VIA CAV AZZARITO NICOLA,VIA CAV. AZZARITO NICOLA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CAVA,VIA CAVA,1,27,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CAVALIERI DI MALTA,VIA CAVALIERI DI MALTA,1,57,VIA CAVALIERI DI MALTA,VIA CAVALIERI DI MALTA,1245145,13,matched,normalized_exact,high,
VIA CENSI,VIA CENSI,1,29,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
VIA CESARE PAVESE,VIA CESARE PAVESE,1,52,VIA CESARE PAVESE,VIA CESARE PAVESE,1245156,9,matched,normalized_exact,high,
VIA CHIUSA,VIA CHIUSA,2,32; 50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
