street_name_normalised,electoral_street_name_raw,electoral_rule_count,electoral_section_numbers,anncsu_street_name_normalised,anncsu_odonimo,anncsu_progressivo_nazionale,anncsu_total_accesses,crosswalk_status,match_method,confidence,notes
CORSO E ATRIO DELLA REPUBBLICA,CORSO E ATRIO DELLA REPUBBLICA,1,33,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CORSO EROI DI SAPRI,CORSO EROI DI SAPRI,1,43,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CORSO G NICOTERA,CORSO G. NICOTERA,1,1,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
CORSO NUMISTRANO,CORSO NUMISTRANO,1,8,CORSO NUMISTRANO,CORSO NUMISTRANO,1245701,57,matched,normalized_exact,high,
INA CASA,INA CASA,1,33,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LARGHETTO BRUZIO,LARGHETTO BRUZIO,1,22,LARGHETTO BRUZIO,LARGHETTO BRUZIO,1245070,4,matched,normalized_exact,high,
LARGHETTO CROCEFISSO,LARGHETTO CROCEFISSO,1,6,LARGHETTO CROCEFISSO,LARGHETTO CROCEFISSO,1245194,1,matched,normalized_exact,high,
LARGHETTO E VICHI BLASCHI,LARGHETTO E VICHI BLASCHI,1,3,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LARGHETTO E VICHI S ANTONIO,LARGHETTO E VICHI S. ANTONIO,1,7,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LARGHETTO STRANO,LARGHETTO STRANO,1,26,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LARGO ANGOTTI,LARGO ANGOTTI,1,6,LARGO ANGOTTI,LARGO ANGOTTI,1245002,5,matched,normalized_exact,high,
LARGO CAPORALE,LARGO CAPORALE,1,8,LARGO CAPORALE,LARGO CAPORALE,1245108,9,matched,normalized_exact,high,
LARGO D STATTI,LARGO D. STATTI,1,26,LARGO DAMIANO STATTI,LARGO DAMIANO STATTI,1245206,8,matched_abbreviation_unique,abbreviation_signature_unique,medium,unique ANNCSU odonym match by final token plus preceding initials
LARGO DANO,LARGO DANO,1,26,LARGO DANO,LARGO DANO,1245210,8,matched,normalized_exact,high,
LARGO E VIA SCARAMUZZINO,LARGO E VIA SCARAMUZZINO,1,3,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LARGO E VICO MERCURIO,LARGO E VICO MERCURIO,1,27,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LARGO E VICO NETTUNO,LARGO E VICO NETTUNO,1,27,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LARGO G GUALTIERI,LARGO G. GUALTIERI,1,8,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LARGO GALLO,LARGO GALLO,1,27,LARGO GALLO,LARGO GALLO,1245373,4,matched,normalized_exact,high,
LARGO GESU,LARGO GESU',1,27,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LARGO GREGORACI,LARGO GREGORACI,1,8,LARGO GREGORACI,LARGO GREGORACI,1245451,6,matched,normalized_exact,high,
LARGO MANCUSO,LARGO MANCUSO,1,27,LARGO MANCUSO,LARGO MANCUSO,1245603,6,matched,normalized_exact,high,
LARGO S MARIA,LARGO S. MARIA,1,27,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LARGO SCORPIONE,LARGO SCORPIONE,1,26,LARGO SCORPIONE,LARGO SCORPIONE,1245919,4,matched,normalized_exact,high,
LARGO STELLA,LARGO STELLA,1,27,LARGO STELLA,LARGO STELLA,1245949,5,matched,normalized_exact,high,
LARGO VANONI,LARGO VANONI,1,32,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LARGO VERITA,LARGO VERITA',1,27,LARGO VERITA,LARGO VERITA',1246031,5,matched,normalized_exact,high,
LOC ADRIANO,LOC. ADRIANO,1,45,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC AGRUMALORI,LOC. AGRUMALORI,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC ALLIOCA,LOC. ALLIOCA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC ANGILLITO,LOC. ANGILLITO,1,54,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC ANGITOLA,LOC. ANGITOLA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC ARICELLA,LOC. ARICELLA,1,38,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC BAGNI,LOC. BAGNI,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC BARONIELLO,LOC. BARONIELLO,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC BASTIONE DI MALTA,LOC. BASTIONE DI MALTA,1,57,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC BELLAFEMMINA,LOC. BELLAFEMMINA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC BOSCO AMATELLO,LOC. BOSCO AMATELLO,1,54,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC BOSCO FRANCICA,LOC. BOSCO FRANCICA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC BRESCIA,LOC. BRESCIA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CAFARELLO,LOC. CAFARELLO,1,45,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CAFARONE,LOC. CAFARONE,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CAMPAGNA,LOC. CAMPAGNA,1,57,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CAMPANE DI VOTTA,LOC. CAMPANE DI VOTTA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CAMPOLONGO,LOC. CAMPOLONGO,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CANCELLO,LOC. CANCELLO,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CANNISTRALI,LOC. CANNISTRALI,1,32,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CASE AMENDOLA,LOC. CASE AMENDOLA,1,33,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CASE GALLO,LOC. CASE GALLO,1,48,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CASE GUALTIERI,LOC. CASE GUALTIERI,1,47,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CASE SPARSE OSPEDALE,LOC. CASE SPARSE OSPEDALE,1,41,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CASINO DI SCALZO,LOC. CASINO DI SCALZO,1,30,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CASSIENE,LOC. CASSIENE,1,25,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CELLE,LOC. CELLE,1,50,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CERASIA,LOC. CERASIA,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CIALAMPO,LOC. CIALAMPO,1,53,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC CONCA,LOC. CONCA,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC ELEMOSINA,LOC. ELEMOSINA,1,57,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
LOC FABIANO,LOC. FABIANO,1,56,,,,,unmatched,normalized_exact,review,no exact normalized ANNCSU odonym match
