event_id,edition_year,event_title,video_id,date,location,speakers,moderator,main_topics,territorial_relevance,civic_relevance_score,analysis_status,notes
trame15_20260617_ecomafie-e-verita-sommerse,2026,Ecomafie e verità sommerse,,2026-06-17,"Palazzo Nicotera - Sala ""Giuseppe Perri""",Ecomafie e verità sommerse; con Stefano Ciafani (Legambiente) e Tommaso Panza (giornalista);;,,Ecomafie e verità sommerse,Lamezia,5,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 16:00; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
trame15_20260617_eretici-e-disobbedienti,2026,Eretici e disobbedienti,,2026-06-17,Palazzo Nicotera,"Eretici e disobbedienti; con Toni Mira, Mons. Serafino Parisi (Vescovo di Lamezia Terme) e Maria Scaramuzzino (Gazzetta del sud);",,Eretici e disobbedienti,Lamezia,5,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 18:30; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
trame15_20260617_etica-aziendale-presidio-di-legalita-e-territorio-libero-dalle-mafie,2026,Etica aziendale: presidio di legalità e territorio libero dalle mafie,,2026-06-17,"Palazzo Nicotera - Sala ""Giuseppe Perri""","Etica aziendale: presidio di legalità e territorio libero dalle mafie; con Pietro Falbo (Camera di Commercio CZ-KR-VV), Patrizia Di Dio (Confcommercio Imprese per l’Italia), Giuseppe Cotroneo (Confcommercio Lamezia Terme), Vincenzo Linarello (GOEL Gruppo Cooperativo, autore di ""manuale dell'etica efficace""), Daniele Gualtieri (CISL Magna Graecia) e Giuseppe Smorto (Repubblica);",,Etica aziendale: presidio di legalità e territorio libero dalle mafie,Lamezia,5,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 17:00; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
trame15_20260617_il-lato-oscuro-della-germania,2026,Il lato oscuro della Germania,,2026-06-17,Chiostro San Domenico,"Il lato oscuro della Germania; con Ruggero Scaturro (GI-TOC), Anna Sergi (Università di Bologna), Judith Eisinger (mafianeindanke) e Michael Braun (TAZ);;",,Il lato oscuro della Germania,transnational,3,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 21:30; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
trame15_20260617_in-memoria-di-giovanna-casadio,2026,In memoria di Giovanna Casadio,,2026-06-17,Redazione,In memoria di Giovanna Casadio; Volontarə di redazione incontrano Ippolita Luzzo (Il Regno della Litweb) ; ;;,,In memoria di Giovanna Casadio,general,3,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 15:00; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
trame15_20260617_la-mafia-albanese-alla-conquista-del-mondo,2026,La mafia albanese alla conquista del mondo,,2026-06-17,Piazzetta San Domenico,"La mafia albanese alla conquista del mondo; con Nello Trocchia , Luca Tescaroli (Procuratore di Prato) e Giovanni Tizian;",,La mafia albanese alla conquista del mondo,transnational,3,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 21:00; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
trame15_20260617_la-ragazza-che-si-ribello-alla-mafia,2026,La ragazza che si ribellò alla mafia,,2026-06-17,Piazza Mazzini Pan&Quotidiano - Trame in Città,La ragazza che si ribellò alla mafia; con Daniele Aristarco e Elisa Chiriano (radio Ciak),,La ragazza che si ribellò alla mafia,Italia,3,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 19:00; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
trame15_20260617_le-mafie-della-tensione,2026,Le mafie della tensione,,2026-06-17,Chiostro San Domenico,Le mafie della tensione; con Enzo Ciconte e Gianfranco Manfredi (giornalista);,,Le mafie della tensione,Italia,4,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 18:30; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
trame15_20260617_le-mafie-non-giocano,2026,Le mafie non giocano,,2026-06-17,Palazzo Nicotera,Le mafie non giocano; con Toni Mira e Andrea Giambartolomei (Lavialibera);,,Le mafie non giocano,Lamezia,5,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 18:00; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
trame15_20260617_ragazzi-daltri-tempi,2026,Ragazzi d’altri tempi,,2026-06-17,Piazzetta San Domenico,"Ragazzi d’altri tempi; con Alessia Arcolaci (42 Parallelo);; a seguire;; Trame Visioni; Docuserie Rai I ragazzi delle scorte Episodio Rocco e Giuseppe Ragazzi d’altri tempi , produzione 42; PARALLELO;",,Ragazzi d’altri tempi,general,2,not_started,Programma ufficiale mercoledi-17-giugno-2026; orario 22:00; fonte https://www.tramefestival.it/mercoled%C3%AC-17-giugno-2026
