person_id,name,role_raw,affiliation_raw,speaker_type,events_count,verification_status,notes
person_stefano-chiaraluce,Stefano Chiaraluce,Filcams Cgil Nazionale,Filcams Cgil Nazionale,unknown,1,official_program_raw,Eventi: Turismo e Capitale
person_stefano-ciafani,Stefano Ciafani,Legambiente,Legambiente,attivista,1,official_program_raw,Eventi: Ecomafie e verità sommerse
person_stefano-di-traglia,Stefano Di Traglia,,,unknown,1,official_program_raw,Eventi: Diario di cittadinanza
person_stefano-iannaccone,Stefano Iannaccone,Domani,Domani,unknown,1,official_program_raw,Eventi: Chi ostacola la giustizia
person_storia-della-banda-neonazi-ludwig,Storia della banda neonazi Ludwig,,,unknown,1,official_program_raw,Eventi: TRAME XL
person_tana-de-zulueta,Tana De Zulueta,già corrispondente dall’italia per The Economist e esponente di Archivio Disarmo,già corrispondente dall’italia per The Economist e esponente di Archivio Disarmo,unknown,1,official_program_raw,Eventi: Disarmare il presente
person_tania-scacchetti,Tania Scacchetti,Segretaria generale Spi Cgil,Segretaria generale Spi Cgil,unknown,1,official_program_raw,Eventi: Sindacato eversione neofascista relazioni criminali e terrore globale
person_tiziana-bagnato,Tiziana Bagnato,giornalista,giornalista,giornalista,1,official_program_raw,Eventi: Sindacato eversione neofascista relazioni criminali e terrore globale
person_tiziana-faraoni,Tiziana Faraoni,photo editor de L'Espresso,photo editor de L'Espresso,unknown,1,official_program_raw,Eventi: Spina. Napoli 1996 - 2016
person_tommaso-panza,Tommaso Panza,"giornalista, già vincitore del Premio Morrione","giornalista, già vincitore del Premio Morrione",giornalista,4,official_program_raw,"Eventi: Le mafie che opprimono | Ecomafie e verità sommerse | I cecchini del weekend | Disagio, carcere e dissenso"
person_tommaso-ricciardelli,Tommaso Ricciardelli,giornalista,giornalista,giornalista,4,official_program_raw,Eventi: Mafia a Milano | I padroni della 'ndrangheta | La ndrangheta nel cuore del Nord | Sogni e resistenza nelle periferie di Napoli
person_toni-mira,Toni Mira,,,unknown,1,official_program_raw,Eventi: Le mafie non giocano
person_toni-mira-mons-serafino-parisi,"Toni Mira, Mons. Serafino Parisi",Vescovo di Lamezia Terme,Vescovo di Lamezia Terme,unknown,1,official_program_raw,Eventi: Eretici e disobbedienti
person_trame-per-il-patrimonio-vedere-la-democrazia,Trame per il Patrimonio - Vedere la Democrazia,,,unknown,1,official_program_raw,Eventi: Inaugurazione mostre Trame.15
person_trame-visioni,Trame Visioni,,,unknown,2,official_program_raw,Eventi: Le mafie che opprimono | Ragazzi d’altri tempi
person_trame-visioni-chi-ha-ucciso-giovanni-losardo,Trame Visioni; Chi ha ucciso Giovanni Losardo?,,,unknown,1,official_program_raw,Eventi: Chi ha ucciso Giovanni Losardo? A 100 anni dalla sua nascita
person_valentina-lomellini,Valentina Lomellini ,,,unknown,1,official_program_raw,Eventi: Lo sciacallo
person_vincenzo-bisbiglia,Vincenzo Bisbiglia,,,unknown,1,official_program_raw,Eventi: La nuova Tangentopoli
person_vincenzo-chindamo,Vincenzo Chindamo,,,unknown,1,official_program_raw,Eventi: Se dicessimo la verità
person_vincenzo-linarello,Vincenzo Linarello,"GOEL Gruppo Cooperativo, autore di ""manuale dell'etica efficace""","GOEL Gruppo Cooperativo, autore di ""manuale dell'etica efficace""",operatore_sociale,1,official_program_raw,Eventi: Etica aziendale: presidio di legalità e territorio libero dalle mafie
person_vincenzo-spagnolo,Vincenzo Spagnolo,Avvenire,Avvenire,giornalista,1,official_program_raw,Eventi: I segreti della ‘ndrangheta
person_vinicio-leonetti,Vinicio Leonetti,giornalista,giornalista,giornalista,1,official_program_raw,Eventi: Storie Luoghi Anthropologie
person_vito-teti,Vito Teti,,,unknown,1,official_program_raw,Eventi: Decostruzione del termine terrone e ritorno alle terre del Sud
person_wanda-ferro,Wanda Ferro,sottosegretaria di Stato al Ministero dell'interno,sottosegretaria di Stato al Ministero dell'interno,unknown,1,official_program_raw,Eventi: Mettiamo il Bene in Comune
